OBJECTID,ZONE_LTR,Zone_Nam,sqmi,Shape__Area,Shape__Length
1,B,B6,2137.00972547,9906771087.97656,510896.288289372
2,C,C1,925.401222226,4314514807.30078,305119.09761809
3,X,X2,1620.44656944,7549268788.72656,398290.68089056
4,X,X3b,1543.10922816,7128078068.02734,418581.970336304
5,B,B2,3841.82890134,17433221324.4922,833909.035927967
6,C,C2,926.544490013,4222234428.43359,384759.608498181
7,X,X5b,933.343013329,4212775376.83203,333562.102051673
8,X,X4,1115.2354326,5031622984.89453,452917.647504054
9,X,X5a,543.02945107,2445713304.40625,241384.711215887
10,X,X6a,1233.82984301,5478273390.75781,490208.035782817
11,X,X6b,687.50532869,3036357436.58203,305668.480027777
12,D,D3,3777.53000517,16439559914.4023,757242.975566524
13,A,A (North Unit 160),9055.44385337,38630499738.6016,1348185.66966865
14,B,B3,1055.63245665,4612693806.16406,412952.847867279
15,X,X7a,705.181375233,3082294114.73438,324356.177631501
16,X,X7b,334.816403994,1451685171.54297,285541.204835305
17,D,D4,2275.18519196,9764362904.84766,744959.540977866
18,X,X8,520.042561627,2213608001.0625,271852.405315125
19,X,X12,1031.08216066,4343543515.60938,364441.743630818
20,X,X9b,741.439069711,3009647360.59375,387934.708748277
21,D,D9,1457.29193321,5694510882.26953,364980.618219903
22,D,D10,1379.00768423,5337900698.63672,323487.1854259
23,D,D12,8332.7612196,31201122627.7383,1117389.40883245
24,D,D14,1704.35693254,6470160836.83203,358248.687154292
25,B,B4,934.107825426,4157055671.58984,432252.230966284
26,D,D15,3182.03377124,11951925919.6992,600327.483003331
27,D,D19,2693.31371282,10051470159.5898,545171.242376077
28,D,D16,4480.90699841,16525423680.3672,775657.004426963
29,D,D15,74.984234112,279273047.96875,110465.532332016
30,A,A (South Unit 110),26559.4562417,105857790723.609,2139606.19618454
31,B,B5,2053.51439509,9122350864.42969,534514.059264135
32,D,D7,3762.19008647,15361629106.0078,708536.972155863
33,D,D8,5793.9111955,23110482134.8398,811845.314148527
34,X,X1,2904.36343339,13419256299.3047,557320.328826497
35,C,C4,3863.8898925,17123379545.7695,694035.593690122
36,C,C3,1312.51771787,5917624503.30078,443863.877851602
37,X,X3a,1533.24846047,7010767933.45703,433360.12948314
38,X,X10,945.261121966,3755779890.03516,401594.824685089
39,D,D6,5020.82795009,20854499856.6055,806183.536210715
40,D,D5,4815.48389328,20363523417.8555,820654.560232891
41,X,X9c,8711.07502181,35049853145.1523,889944.5915905
42,D,D17,19555.3546335,75686049201.9375,1338726.91526985
43,D,D13,1305.08414154,5018973356.125,372936.148808033
44,D,D11,2540.26880498,9683928257.06641,496459.972987604
45,B,B1,6186.97972454,27942320855.2578,1563289.99488253
46,X,X9a,1946.39321331,8074977141.42188,493098.223013966
